id,Function_name,description_en,Category,syntax_en,example_en,Tutorial_1,Tutorial_2,Tutorial_3,Tutorial_4
11,AMORLINC,Returns the depreciation for each accounting period,Financial,"AMORLINC(cost, date_purchased, first_period, salvage, period, rate, [basis])","=AMORLINC(8000,""1-Jan-23"",""31-Dec-23"",1000,1,0.2)",Straight-line asset depreciation calculation.,Accounting entries for asset depreciation.,Project financial asset depreciation.,Manage budget depreciation allocation.
12,AND,Returns TRUE if all of its arguments are TRUE,Logical,"AND(logical1, [logical2],...)","=AND(A1>0,A1<5)",Check multiple conditions at once.,Validate data entry forms.,Approve loans if criteria match multiple rules.,Automate report filtering.
13,ARABIC,"Converts a Roman number to Arabic, as a number",Math and trigonometry,ARABIC(text),"=ARABIC(""XV"")",Convert Roman numerals to Arabic numbers.,Use in historical data conversion.,Process Roman numeral data in lists.,Automate numeric conversions for reports.
14,AREAS,Returns the number of areas in a reference,Lookup and reference,AREAS(reference),"=AREAS((A1:B2,C3:D4))",Count areas in multiple references.,Analyze complex data range selections.,Audit multiple selected ranges.,Check report data continuity.
15,ARRAYTOTEXT,Returns an array of text values from any specified range,Text,"ARRAYTOTEXT(array, [format])",=ARRAYTOTEXT(A1:C3),Convert array data into readable text.,Generate readable logs from arrays.,Prepare text-based reports from numeric arrays.,Automate messaging from Excel data arrays.
16,ASC,Changes full-width (double-byte) English letters or katakana within a character string to half-width (single-byte) characters,Text,ASC(text),"=ASC(""????"")",Convert double-byte to single-byte characters.,Standardize imported Asian character data.,Prepare text data for database uploads.,Cleanse and format multilingual data sets.
17,ASIN,Returns the arcsine of a number,Math and trigonometry,ASIN(number),=ASIN(0.5),Find angles from sine values.,Solve geometry problems.,Compute engineering angles.,Analyze trigonometric data.
18,ASINH,Returns the inverse hyperbolic sine of a number,Math and trigonometry,ASINH(number),=ASINH(2),Solve hyperbolic inverse sine equations.,Engineering calculations involving hyperbolic functions.,Advanced math models.,Physics simulation computations.
19,ATAN,Returns the arctangent of a number,Math and trigonometry,ATAN(number),=ATAN(1),Calculate angles from tangent values.,Engineering angle measurement.,Geometry problem-solving.,Data analysis in trigonometry.
20,ATAN2,Returns the arctangent from x- and y-coordinates,Math and trigonometry,"ATAN2(x_num, y_num)","=ATAN2(4,3)",Find directional angles in coordinate geometry.,Compute bearings from coordinate data.,Robotics angle computations.,Physics vector angle analysis.
21,ATANH,Returns the inverse hyperbolic tangent of a number,Math and trigonometry,ATANH(number),=ATANH(0.3),Calculate inverse hyperbolic tangent.,Engineering model simulations.,Math modeling scenarios.,Physics computations.
22,AVEDEV,Returns the average of the absolute deviations of data points from their mean,Statistical,"AVEDEV(number1,[number2],...)",=AVEDEV(A1:A6),Measure average deviation in data.,Statistical analysis of sales variance.,Check quality control variations.,Evaluate average fluctuations in finance.
23,AVERAGE,Returns the average of its arguments,Statistical,"AVERAGE(number1,[number2],...)",=AVERAGE(B1:B16),Compute student grade averages.,Calculate monthly temperature averages.,Determine average employee productivity.,Find average revenue per quarter.
24,AVERAGEA,"Returns the average of its arguments, including numbers, text, and logical values",Statistical,"AVERAGEA(value1,[value2],...)",=AVERAGEA(A1:A1),Average mixed data including text as zero.,Data cleaning before analysis.,Include logical values in averages.,Analyze survey data with mixed responses.
25,AVERAGEIF,Returns the average (arithmetic mean) of all the cells in a range that meet a given criteria,Statistical,"AVERAGEIF(range, criteria, [average_range])","=AVERAGEIF(A1:A6,"">50"")",Average sales above a certain threshold.,Compute average performance above targets.,Find average scores meeting criteria.,Calculate average response time below a limit.
26,AVERAGEIFS,Returns the average (arithmetic mean) of all cells that meet multiple criteria.,Statistical,"AVERAGEIFS(average_range, criteria_range1, criteria1,...)","=AVERAGEIFS(C1:C6,A1:A6,""John"",B1:B6,"">50"")",Calculate average sales by salesperson.,Evaluate average scores across multiple criteria.,Analyze data sets filtered by date and category.,Determine average expenses by department and month.
27,BAHTTEXT,"Converts a number to text, using the ÃŸ (baht) currency format",Text,BAHTTEXT(number),=BAHTTEXT(1234),Convert numbers into Thai Baht currency text.,Generate payment slips in Thai language.,Automate Thai financial reports.,Prepare invoices for Thai customers.
28,BASE,Converts a number into a text representation with the given radix (base),Math and trigonometry,"BASE(number, radix, [min_length])","=BASE(10,2)",Convert decimal to binary representation.,Generate hexadecimal codes for colors.,Convert numbers to octal/base-8 format.,Programming numeric conversions.
29,BESSELI,Returns the modified Bessel function In(x),Engineering,"BESSELI(x, n)","=BESSELI(1.5,2)",Calculate modified Bessel functions in engineering.,Solve heat conduction equations.,Compute electromagnetic wave solutions.,Physics research simulations.
30,BESSELJ,Returns the Bessel function Jn(x),Engineering,"BESSELJ(x, n)","=BESSELJ(2,1)",Evaluate Bessel functions in physics.,Solve vibration problems.,Acoustics and wave analysis computations.,Mathematical modeling of circular systems.
31,BESSELK,Returns the modified Bessel function Kn(x),Engineering,"BESSELK(x, n)","=BESSELK(3,0)",Solve modified Bessel equations in physics.,Engineering stress analysis.,Calculate electromagnetic propagation.,Model fluid dynamics phenomena.
32,BESSELY,Returns the Bessel function Yn(x),Engineering,"BESSELY(x, n)","=BESSELY(4,2)",Calculate Bessel functions of the second kind.,Analyze wave diffraction problems.,Solve complex physical system equations.,Engineering and acoustic wave modeling.
33,BETA.DIST,Returns the beta cumulative distribution function,Statistical,"BETA.DIST(x,alpha,beta,cumulative,[A],[B])","=BETA.DIST(0.4,3,4,TRUE)",Evaluate cumulative beta distributions.,Analyze probability of events.,Quality management statistical evaluation.,Estimate project completion probabilities.
34,BETA.INVn,Returns the inverse of the cumulative distribution function for a specified beta distribution,Statistical,"BETA.INV(probability,alpha,beta,[A],[B])","=BETA.INV(0.75,4,5)",Inverse beta distribution calculations.,Statistical hypothesis testing.,Estimate optimal production rates.,Budget risk management analysis.
35,BETADIST,Returns the beta cumulative distribution function,Compatibility,"BETADIST(x,alpha,beta,[A],[B])","=BETADIST(0.5,2,3)",Probability distributions in statistical analysis.,Analyze risk and uncertainty in projects.,Predict sales patterns.,Quality control statistics.
36,BETAINV,Returns the inverse of the cumulative distribution function for a specified beta distribution,Compatibility,"BETAINV(probability,alpha,beta,[A],[B])","=BETAINV(0.9,2,3)",Find critical values in beta distribution analysis.,Risk management thresholds.,Statistical decision making.,Project resource allocation decisions.
37,BIN2DEC,Converts a binary number to decimal,Engineering,BIN2DEC(number),"=BIN2DEC(""1101"")",Convert binary values to decimal numbers.,Analyze binary data from sensors.,Interpret binary coded data logs.,Educational use for teaching binary concepts.
38,BIN2HEX,Converts a binary number to hexadecimal,Engineering,"BIN2HEX(number, [places])","=BIN2HEX(""1010"")",Convert binary numbers to hexadecimal values.,Software development data processing.,Analyze hardware-generated data.,Educational demonstrations of numeric systems.
39,BIN2OCT,Converts a binary number to octal,Engineering,"BIN2OCT(number, [places])","=BIN2OCT(""111"")",Convert binary numbers to octal values.,Work with legacy computer systems.,Manage numeric system conversions.,Learning and teaching numeric systems.
40,BINOM.DIST,Returns the individual term binomial distribution probability,Statistical,"BINOM.DIST(number_s, trials, probability_s, cumulative)","=BINOM.DIST(5,12,0.4,TRUE)",Evaluate cumulative binomial probabilities.,Predict outcomes in marketing campaigns.,Quality assurance defect analysis.,Statistical evaluation of survey responses.
41,BINOM.DIST.RANGE,Returns the probability of a trial result using a binomial distribution,Statistical,"BINOM.DIST.RANGE(trials, probability_s, number_s, [number_s2])","=BINOM.DIST.RANGE(10,0.5,3,6)",Probability of results within a specific range.,Project management risk evaluation.,Statistical modeling of event outcomes.,Evaluating scenario-based probabilities.
42,BINOM.INV,Returns the smallest value for which the cumulative binomial distribution is less than or equal to a criterion value,Statistical,"BINOM.INV(trials, probability_s, alpha)","=BINOM.INV(100,0.5,0.9)",Determine required successes for given probability.,Risk threshold calculation.,Goal-setting for quality control processes.,Establish criteria for success benchmarks.
43,BINOMDIST,Returns the individual term binomial distribution probability,Compatibility,"BINOMDIST(number_s, trials, probability_s, cumulative)","=BINOMDIST(3,10,0.5,FALSE)",Compute probabilities in binomial distributions.,Analyze quality control pass rates.,Evaluate the likelihood of test results.,Calculate success rates in product launches.
44,BITAND,Returns a 'Bitwise And' of two numbers,Engineering,"BITAND(number1, number2)","=BITAND(12,5)",Perform bitwise AND operation.,Analyze binary flags in systems.,Computer programming debugging.,Digital signal processing applications.
45,BITLSHIFT,Returns a value number shifted left by shift_amount bits,Engineering,"BITLSHIFT(number, shift_amount)","=BITLSHIFT(4,2)",Shift binary bits left by specified places.,Implement efficient binary arithmetic.,Hardware register manipulation.,Data encoding and compression techniques.
46,BITOR,Returns a bitwise OR of 2 numbers,Engineering,"BITOR(number1, number2)","=BITOR(3,6)",Perform bitwise OR operation.,Set binary configuration flags.,Analyze hardware register status.,Manage software feature toggles.
47,BITRSHIFT,Returns a value number shifted right by shift_amount bits,Engineering,"BITRSHIFT(number, shift_amount)","=BITRSHIFT(16,3)",Shift binary bits right by specified places.,Efficient division by powers of two.,Bitwise analysis in programming.,Binary data interpretation in systems.
48,BITXOR,Returns a bitwise 'Exclusive Or' of two numbers,Engineering,"BITXOR(number1, number2)","=BITXOR(7,5)",Perform bitwise XOR operation.,Data encryption and masking.,Identify bitwise differences in signals.,Error detection and data verification.
49,BYCOL,Applies aÂ LAMBDAÂ to each column and returns an array of the results,Logical,"BYCOL(array, lambda)","=BYCOL(A1:C3,LAMBDA(column,SUM(column)))",Apply functions column-wise dynamically.,Calculate column totals quickly.,Statistical summaries of survey data columns.,Automate data aggregation vertically.
50,BYROW,Applies aÂ LAMBDAÂ to each row and returns an array of the results,Logical,"BYROW(array, lambda)","=BYROW(A1:C3,LAMBDA(row,AVERAGE(row)))",Apply functions row-wise dynamically.,Compute row-wise average scores.,Quickly analyze row totals for budgets.,Automate horizontal data summarization.
51,CALL,Calls a procedure in a dynamic link library or code resource,Add-in and Automation,"CALL(module_text, procedure, type_text, [argument1],...)","=CALL(""USER32"",""MessageBoxA"",""JJCC"","""",0)",Execute external library procedures.,Integrate Excel with external APIs.,Advanced data processing via external scripts.,Custom automation and macros integration.
52,CEILING,Rounds a number to the nearest integer or to the nearest multiple of significance,Compatibility,"CEILING(number, significance)","=CEILING(4.2,1)",Round numbers up to nearest significance.,Price rounding for retail businesses.,Inventory unit rounding.,Billing increment calculations.
53,CEILING.MATH,"Rounds a number up, to the nearest integer or to the nearest multiple of significance",Math and trigonometry,"CEILING.MATH(number,[significance],[mode])",=CEILING.MATH(-5.7),Round numbers up using mathematical rules.,Statistical reporting rounding rules.,Financial forecasting rounding scenarios.,Product packaging quantity calculations.
54,CEILING.PRECISE,"Rounds a number the nearest integer or to the nearest multiple of significance. Regardless of the sign of the number, the number is rounded up.",Math and trigonometry,"CEILING.PRECISE(number,[significance])",=CEILING.PRECISE(6.2),Round numbers up precisely.,Accurate budget forecasting.,Precise measurement conversions.,Strict compliance in financial reports.
55,CELL,"Returns information about the formatting, location, or contents of a cell",Information,"CELL(info_type,[reference])","=CELL(""address"",A1)",Retrieve detailed cell information.,Create dynamic spreadsheet navigation.,Identify cell formats for audits.,Generate reports on spreadsheet properties.
56,CHAR,Returns the character specified by the code number,Text,CHAR(number),=CHAR(65),Return character based on ASCII code.,Convert numeric data to text labels.,Automate labeling from numeric codes.,Generate special symbols for formatting.
57,CHIDIST,Returns the one-tailed probability of the chi-squared distribution,Compatibility,"CHIDIST(x, degrees_freedom)","=CHIDIST(5.2, 2)",Statistical hypothesis testing.,Chi-square test on survey data.,Analyze variance in experimental data.,Evaluate quality assurance outcomes.
58,CHIINV,Returns the inverse of the one-tailed probability of the chi-squared distribution,Compatibility,"CHIINV(probability, degrees_freedom)","=CHIINV(0.05, 10)",Critical value for Chi-square tests.,Set significance levels for research.,Threshold analysis in market surveys.,Quality control statistical limits.
59,CHISQ.DIST,Returns the cumulative beta probability density function,Statistical,"CHISQ.DIST(x, degrees_freedom, cumulative)","=CHISQ.DIST(3,5,TRUE)",Probability distribution evaluation.,Perform hypothesis testing.,Quality assurance assessments.,Statistical data analysis in research.
60,CHISQ.DIST.RT,Returns the one-tailed probability of the chi-squared distribution,Statistical,"CHISQ.DIST.RT(x, degrees_freedom)","=CHISQ.DIST.RT(4,3)",Right-tailed Chi-square probability calculation.,Statistical evaluation of anomalies.,Significance testing in quality management.,Analyze rare event probabilities.
61,CHISQ.INV,Returns the cumulative beta probability density function,Statistical,"CHISQ.INV(probability, degrees_freedom)","=CHISQ.INV(0.95,2)",Determine critical Chi-square values.,Statistical threshold setup.,Identify cutoff values for research data.,Quality assurance acceptance criteria.
62,CHISQ.INV.RT,Returns the inverse of the one-tailed probability of the chi-squared distribution,Statistical,"CHISQ.INV.RT(probability, degrees_freedom)","=CHISQ.INV.RT(0.05,3)",Right-tail inverse Chi-square values.,Risk assessment for decision-making.,Set upper statistical control limits.,Analyze critical outcomes in experiments.
63,CHISQ.TEST,Returns the test for independence,Statistical,"CHISQ.TEST(actual_range, expected_range)","=CHISQ.TEST(A1:A1,B1:B1)",Validate expected frequencies in experiments.,Evaluate deviations in market behavior.,Analyze distribution fit in product testing.,Confirm statistical consistency in audits.
64,CHITEST,Returns the test for independence,Compatibility,"CHITEST(actual_range, expected_range)","=CHITEST(A2:A6,B2:B6)",Compare actual vs. expected results.,Evaluate market research accuracy.,Verify distributions of survey results.,Determine fit between observed and predicted data.
65,CHOOSE,Chooses a value from a list of values,Lookup and reference,"CHOOSE(index_num, value1, [value2],...)","=CHOOSE(2,""Red"",""Blue"",""Green"")",Dynamically select product categories.,Automate monthly report labels.,Conditional selection in pricing models.,Interactive scenario analysis.
66,CHOOSECOLS,Returns the specified columns from an array,Lookup and reference,"CHOOSECOLS(array, col_num1,[col_num2],...)","=CHOOSECOLS(A1:C3,1,3)",Extract specific columns quickly.,Rearrange columns dynamically.,Filter columns for reporting.,Data transformation for exports.
67,CHOOSEROWS,Returns the specified rows from an array,Lookup and reference,"CHOOSEROWS(array, row_num1,[row_num2],...)","=CHOOSEROWS(A1:D6,1,5)",Select key rows from data tables.,Dynamic row filtering in dashboards.,Report summary preparation.,Extract data subsets for analysis.
68,CLEAN,Removes all nonprintable characters from text,Text,CLEAN(text),=CLEAN(A1),Remove unwanted characters.,Clean up imported text data.,Prepare text for database insertion.,Data sanitization for reports.
69,CODE,Returns a numeric code for the first character in a text string,Text,CODE(text),"=CODE(""A"")",Retrieve ASCII code for characters.,Text data analysis.,Identify special character codes.,Automate data encoding tasks.
70,COLUMN,Returns the column number of a reference,Lookup and reference,COLUMN([reference]),=COLUMN(C1),Identify column number dynamically.,Spreadsheet navigation assistance.,Formula-based data extraction.,Automate column references in reports.
71,COLUMNS,Returns the number of columns in a reference,Lookup and reference,COLUMNS(array),=COLUMNS(A1:C1),Count columns within a range.,Dynamically manage spreadsheet tables.,Automate range-based calculations.,Analyze width of data sets.
72,COMBIN,Returns the number of combinations for a given number of objects,Math and trigonometry,"COMBIN(number, number_chosen)","=COMBIN(10,2)",Calculate combinations in probability.,Analyze lottery or gaming odds.,Optimize selection scenarios.,Resource allocation strategies.
73,COMBINA,Returns the number of combinations with repetitions for a given number of items,Math and trigonometry,"COMBINA(number, number_chosen)","=COMBINA(4,2)",Combinations allowing repetitions.,Product bundle selection analysis.,Optimize repeated choices in menus.,Marketing strategy combination analysis.
74,COMPLEX,Converts real and imaginary coefficients into a complex number,Engineering,"COMPLEX(real_num, i_num, [suffix])","=COMPLEX(4,5)",Represent complex numbers in calculations.,Electrical engineering calculations.,Analyze signal processing data.,Mathematical modeling involving complex numbers.
75,CONCAT,"Combines the text from multiple ranges and/or strings, but it doesn't provide the delimiter or IgnoreEmpty arguments.",Text,"CONCAT(text1,[text2],...)","=CONCAT(A1,""-"",B1)",Merge multiple text values efficiently.,Create structured product codes.,Automate customer name formatting.,Consolidate addresses into one cell.
76,CONCATENATE,Joins two or more text strings into one.,Text,"CONCATENATE(text1,[text2],...)","=CONCATENATE(A74,"" "",B74)",Combine first and last names.,Merge address components into one cell.,Generate product codes from multiple fields.,Create email addresses from names and domains.
77,CONFIDENCE,Returns the confidence interval for a population mean,Compatibility,"CONFIDENCE(alpha, standard_dev, size)","=CONFIDENCE(0.05,1.2,30)",Statistical confidence interval calculation.,Determine survey reliability.,Estimate margin of error for polling data.,Quality control interval assessments.
78,CONFIDENCE.NORM,Returns the confidence interval for a population mean,Statistical,"CONFIDENCE.NORM(alpha, standard_dev, size)","=CONFIDENCE.NORM(0.05,2,50)",Calculate confidence intervals for large samples.,Analyze customer satisfaction survey data.,Evaluate reliability of quality audits.,Statistical evaluation of marketing results.
79,CONFIDENCE.T,"Returns the confidence interval for a population mean, using a Student's t distribution",Statistical,"CONFIDENCE.T(alpha, standard_dev, size)","=CONFIDENCE.T(0.05,1.5,20)",Calculate confidence intervals for small samples.,Estimate accuracy of small-group surveys.,Quality assurance in small production batches.,Assess precision in lab measurements.
80,CONVERT,Converts a number from one measurement system to another,Engineering,"CONVERT(number, from_unit, to_unit)","=CONVERT(10,""mi"",""km"")",Convert distances between metric and imperial.,Change weight units in recipe calculations.,Temperature conversions in international reports.,Engineering measurements conversions.
81,CORREL,Returns the correlation coefficient between two data sets,Statistical,"CORREL(array1, array2)","=CORREL(A1:A3,B1:B3)",Calculate correlation between two datasets.,Analyze sales vs. advertising spend.,Correlation analysis in research data.,Measure stock price movements.
82,COS,Returns the cosine of a number,Math and trigonometry,COS(number),=COS(1.047),Solve trigonometric angle calculations.,Analyze periodic business data.,Engineering and architectural calculations.,Compute oscillations in physics.
83,COSH,Returns the hyperbolic cosine of a number,Math and trigonometry,COSH(number),=COSH(2),Hyperbolic cosine for engineering solutions.,Electrical engineering wave calculations.,Physics-based simulations.,Structural load modeling.
84,COT,Returns the hyperbolic cosine of a number,Math and trigonometry,COT(number),=COT(1),Compute cotangent values in geometry.,Engineering angle calculations.,Analyze trigonometric data trends.,Physics experiments involving angles.
85,COTH,Returns the cotangent of an angle,Math and trigonometry,COTH(number),=COTH(2),Evaluate hyperbolic cotangent functions.,Advanced engineering computations.,Math models involving hyperbolic functions.,Physics wave analysis.
86,COUNT,Counts how many numbers are in the list of arguments,Statistical,"COUNT(value1,[value2],...)",=COUNT(A1:A7),Count numeric cells in a range.,Summarize numeric responses in surveys.,Track numeric entries in sales records.,Audit numeric entries in data reports.
87,COUNTA,Counts how many values are in the list of arguments,Statistical,"COUNTA(value1,[value2],...)",=COUNTA(B1:B17),Count non-empty cells in datasets.,Evaluate filled survey responses.,Identify non-empty fields for database exports.,Audit data completeness.
88,COUNTBLANK,Counts the number of blank cells within a range,Statistical,COUNTBLANK(range),=COUNTBLANK(A1:A7),Count empty cells in a range.,Check missing data in forms.,Audit data completeness in spreadsheets.,Evaluate survey data gaps.
89,COUNTIF,Counts the number of cells within a range that meet the given criteria,Statistical,"COUNTIF(range, criteria)","=COUNTIF(A1:A17,"">50"")",Count values meeting specific criteria.,Count products sold above a certain quantity.,Count employees exceeding performance goals.,Summarize results of surveys.
90,COUNTIFS,Counts the number of cells within a range that meet multiple criteria,Statistical,"COUNTIFS(criteria_range1, criteria1,[criteria_range2, criteria2],...)","=COUNTIFS(A1:A7,""Apple"",B1:B7,"">100"")",Count sales matching multiple criteria.,Evaluate project milestones.,Analyze multi-condition survey responses.,Quality check meeting multiple standards.
91,COUPDAYBS,Returns the number of days from the beginning of the coupon period to the settlement date,Financial,"COUPDAYBS(settlement, maturity, frequency, [basis])","=COUPDAYBS(""1-Jan-2024"",""31-Dec-2025"",2)",Calculate days before settlement to coupon date.,Analyze bond interest schedules.,Financial accounting of bond investments.,Manage coupon payment schedules.
92,COUPDAYS,Returns the number of days in the coupon period that contains the settlement date,Financial,"COUPDAYS(settlement, maturity, frequency, [basis])","=COUPDAYS(""1-Mar-2024"",""1-Mar-2026"",4)",Total days in coupon period.,Bond interest calculations.,Investment income projections.,Financial schedule management.
93,COUPDAYSNC,Returns the number of days from the settlement date to the next coupon date,Financial,"COUPDAYSNC(settlement, maturity, frequency, [basis])","=COUPDAYSNC(""1-Apr-2024"",""1-Apr-2027"",2)",Days from settlement to next coupon date.,Financial forecasting for bonds.,Calculate bond yields accurately.,Manage bond-related accounting entries.
94,COUPNCD,Returns the next coupon date after the settlement date,Financial,"COUPNCD(settlement, maturity, frequency, [basis])","=COUPNCD(""1-Jan-2024"",""1-Jan-2026"",2)",Identify next coupon payment date.,Schedule bond interest payments.,Bond investment cash-flow analysis.,Planning coupon payments in portfolios.
95,COUPNUM,Returns the number of coupons payable between the settlement date and maturity date,Financial,"COUPNUM(settlement, maturity, frequency, [basis])","=COUPNUM(""1-Jan-2024"",""1-Jan-2027"",2)",Count remaining coupon payments.,Investment planning for bondholders.,Forecasting bond investment returns.,Financial management of bond portfolios.
96,COUPPCD,Returns the previous coupon date before the settlement date,Financial,"COUPPCD(settlement, maturity, frequency, [basis])","=COUPPCD(""1-Jan-2024"",""1-Jan-2026"",2)",Previous coupon payment date calculation.,Accounting for bond income.,Tracking bond payment history.,Bond portfolio cash-flow review.
97,COVAR,"Returns covariance, the average of the products of paired deviations",Compatibility,"COVAR(array1, array2)","=COVAR(A1:A7,B1:B7)",Calculate covariance between datasets.,Analyze relationships between variables.,Risk analysis in investment portfolios.,Statistical analysis in economic models.
98,COVARIANCE.P,"Returns covariance, the average of the products of paired deviations",Statistical,"COVARIANCE.P(array1, array2)","=COVARIANCE.P(A1:A7,B1:B7)",Population covariance calculation.,Analyze financial data sets.,Risk assessment in investments.,Statistical relationship evaluation.
99,COVARIANCE.S,"Returns the sample covariance, the average of the products deviations for each data point pair in two data sets",Statistical,"COVARIANCE.S(array1, array2)","=COVARIANCE.S(A1:A8,B1:B8)",Sample covariance calculation.,Research data statistical analysis.,Evaluate variability in market trends.,Compare performance of two investments.
100,CRITBINOM,Returns the smallest value for which the cumulative binomial distribution is less than or equal to a criterion value,Compatibility,"CRITBINOM(trials, probability_s, alpha)","=CRITBINOM(100,0.5,0.05)",Critical binomial distribution analysis.,Determine minimum success for quality control.,Threshold calculation for testing scenarios.,Establish acceptance criteria in manufacturing.
101,CSC,Returns the cosecant of an angle,Math and trigonometry,CSC(number),=CSC(1.5708),Calculate cosecant of angles.,Solve geometry problems.,Engineering trigonometry calculations.,Analyze wave functions in physics.
102,CSCH,Returns the hyperbolic cosecant of an angle,Math and trigonometry,CSCH(number),=CSCH(2),Hyperbolic cosecant calculations.,Advanced engineering modeling.,Physics wave simulations.,Analyze exponential decay processes.
103,CUBEKPIMEMBER,"Returns a key performance indicator (KPI) name, property, and measure, and displays the name and property in the cell. A KPI is a quantifiable measurement, such as monthly gross profit or quarterly employee turnover, used to monitor an organization's performance.",Cube,"CUBEKPIMEMBER(connection,kpi_name,kpi_property,[caption])","=CUBEKPIMEMBER(""Sales"",""Profit"",""Goal"")",Analyze KPI data dynamically.,Dashboard KPI tracking.,Business intelligence KPI reporting.,Real-time performance evaluations.
104,CUBEMEMBER,Returns a member or tuple in a cube hierarchy. Use to validate that the member or tuple exists in the cube.,Cube,"CUBEMEMBER(connection,member_expression,[caption])","=CUBEMEMBER(""Sales"",""[Region].[West]"")",Dynamically link cube data.,Reporting multidimensional data.,Interactive business reports.,OLAP data navigation.
105,CUBEMEMBERPROPERTY,Returns the value of a member property in the cube. Use to validate that a member name exists within the cube and to return the specified property for this member.,Cube,"CUBEMEMBERPROPERTY(connection,member_expression,property)","=CUBEMEMBERPROPERTY(""Sales"",""[Region].[East]"",""Population"")",Access specific cube member properties.,Region-specific analysis in reporting.,Product property evaluation.,OLAP data property extraction.
106,CUBERANKEDMEMBER,"Returns the nth, or ranked, member in a set. Use to return one or more elements in a set, such as the top sales performer or top 10 students.",Cube,"CUBERANKEDMEMBER(connection,set_expression,rank,[caption])","=CUBERANKEDMEMBER(""Sales"",""[Product].Children"",1)",Rank products by sales performance.,Generate top-performing lists.,OLAP data ranking analysis.,Report automation based on rank.
107,CUBESET,"Defines a calculated set of members or tuples by sending a set expression to the cube on the server, which creates the set, and then returns that set to Microsoft Office Excel.",Cube,"CUBESET(connection,set_expression,[caption],[sort_order],[sort_by])","=CUBESET(""Sales"",""[Products].Children"",""Top Products"",1)",Create dynamic sets from OLAP cubes.,Reporting grouped data summaries.,Interactive dashboards.,Multidimensional data filtering.
108,CUBESETCOUNT,Returns the number of items in a set.,Cube,CUBESETCOUNT(set),"=CUBESETCOUNT(CUBESET(""Sales"",""[Region].Children""))",Count items in OLAP cube sets.,Dashboard data verification.,Summarize multidimensional data sets.,Evaluate report completeness.
109,CUBEVALUE,Returns an aggregated value from a cube.,Cube,"CUBEVALUE(connection,member_expression1,[member_expression2],...)","=CUBEVALUE(""Sales"",""[Region].[East]"",""[Year].[2024]"")",Retrieve data from cubes dynamically.,Generate dynamic financial reports.,Real-time data analysis in dashboards.,OLAP data integration in Excel.
110,CUMIPMT,Returns the cumulative interest paid between two periods,Financial,"CUMIPMT(rate,nper,pv,start_period,end_period,type)","=CUMIPMT(0.05/12,60,10000,1,12,0)",Calculate cumulative loan interest.,Loan repayment planning.,Financial forecasting for loans.,Budgeting interest payments.
